stringId_A,stringId_B,combined_score
ENSP00000222573,ENSP00000264741,0.61159532
ENSP00000222573,ENSP00000358866,0.7143999999999999
ENSP00000222573,ENSP00000355896,0.544
ENSP00000222573,ENSP00000238682,0.5275000000000001
ENSP00000222573,ENSP00000225964,0.6657500000000001
ENSP00000222573,ENSP00000454623,0.76357976
ENSP00000222573,ENSP00000367316,0.76357976
ENSP00000222573,ENSP00000380948,0.9
ENSP00000222573,ENSP00000458162,0.907
ENSP00000222573,ENSP00000267082,0.9
ENSP00000222573,ENSP00000494750,0.907
ENSP00000222573,ENSP00000349252,0.9155642
ENSP00000222573,ENSP00000362680,0.9097504000000001
ENSP00000222573,ENSP00000346839,0.9
ENSP00000222573,ENSP00000283249,0.9061
ENSP00000222573,ENSP00000341189,0.9164748
ENSP00000222573,ENSP00000226218,0.9
ENSP00000222573,ENSP00000379350,0.9
ENSP00000222573,ENSP00000296181,0.9
ENSP00000222573,ENSP00000452786,0.9044
ENSP00000222573,ENSP00000282588,0.916273
ENSP00000222573,ENSP00000380227,0.9155642
ENSP00000222573,ENSP00000315190,0.9156528
ENSP00000222573,ENSP00000293379,0.9155642
ENSP00000222573,ENSP00000296585,0.918488
ENSP00000222573,ENSP00000327290,0.9155642
ENSP00000222573,ENSP00000358310,0.9155642
ENSP00000222573,ENSP00000261023,0.9976262
ENSP00000223095,ENSP00000419465,0.5489999999999999
ENSP00000223095,ENSP00000262158,0.55688
ENSP00000223095,ENSP00000332973,0.5530430000000001
ENSP00000223095,ENSP00000341551,0.5225
ENSP00000223095,ENSP00000308938,0.5764
ENSP00000223095,ENSP00000339328,0.6865
ENSP00000223095,ENSP00000361850,0.99216022
ENSP00000223095,ENSP00000226218,0.99634
ENSP00000225698,ENSP00000376475,0.4464760000000001
ENSP00000225698,ENSP00000400175,0.5389324
ENSP00000225698,ENSP00000285735,0.6053545
ENSP00000225698,ENSP00000340019,0.5822799999999999
ENSP00000225698,ENSP00000418915,0.8604807999999999
ENSP00000225698,ENSP00000226218,0.45284500000000005
ENSP00000225964,ENSP00000381949,0.4498
ENSP00000225964,ENSP00000497653,0.4252
ENSP00000225964,ENSP00000331544,0.483727
ENSP00000225964,ENSP00000264741,0.65
ENSP00000225964,ENSP00000267082,0.68611825
ENSP00000225964,ENSP00000262407,0.65
ENSP00000225964,ENSP00000352798,0.6384952
ENSP00000225964,ENSP00000361818,0.6790499999999999
ENSP00000225964,ENSP00000341189,0.66925
ENSP00000225964,ENSP00000362776,0.6835200000000001
ENSP00000225964,ENSP00000327801,0.6720504999999999
ENSP00000225964,ENSP00000367316,0.6717
ENSP00000225964,ENSP00000386896,0.65
ENSP00000225964,ENSP00000252599,0.6775059999999999
ENSP00000225964,ENSP00000358310,0.6647000000000001
ENSP00000225964,ENSP00000380227,0.66505
ENSP00000225964,ENSP00000315190,0.68465
ENSP00000225964,ENSP00000283249,0.6884433000000001
ENSP00000225964,ENSP00000296181,0.7030579
ENSP00000225964,ENSP00000369889,0.7518779999999999
ENSP00000225964,ENSP00000363840,0.75164
ENSP00000225964,ENSP00000261023,0.68255
ENSP00000225964,ENSP00000282588,0.68325
ENSP00000225964,ENSP00000327290,0.74485
ENSP00000225964,ENSP00000260356,0.607689
ENSP00000225964,ENSP00000325527,0.564817
ENSP00000225964,ENSP00000452786,0.6884433000000001
ENSP00000225964,ENSP00000293379,0.6864
ENSP00000225964,ENSP00000346839,0.73001
ENSP00000225964,ENSP00000296585,0.9334771
ENSP00000225964,ENSP00000379350,0.9359658
ENSP00000225964,ENSP00000398632,0.9062
ENSP00000225964,ENSP00000360882,0.955802
ENSP00000225964,ENSP00000364000,0.95492
