Root,Dscore,Statistic,Pvalue,AdjPvalue
30,0.861,7.857,1.96e-15,1.12e-12
30,0.8423,7.817,2.71e-15,1.54e-12
30,0.8876,7.813,2.8e-15,1.59e-12
30,0.9143,7.802,3.04e-15,1.73e-12
30,0.861,7.799,3.13e-15,1.78e-12
30,0.8423,7.756,4.37e-15,2.48e-12
30,0.7976,7.734,5.2e-15,2.96e-12
30,0.831,7.652,9.86e-15,5.61e-12
30,0.8914,7.62,1.26e-14,7.2e-12
30,0.8229,7.597,1.51e-14,8.62e-12
30,0.861,7.573,1.82e-14,1.04e-11
30,0.8447,7.555,2.1e-14,1.19e-11
30,0.7935,7.446,4.8e-14,2.73e-11
30,0.7924,7.209,2.82e-13,1.61e-10
30,0.7205,7.167,3.83e-13,2.18e-10
31,0.9494,8.421,1.87e-17,1.07e-14
31,0.9494,8.344,3.58e-17,2.04e-14
31,0.9779,8.332,3.98e-17,2.27e-14
31,0.9494,8.318,4.46e-17,2.54e-14
31,0.9494,8.291,5.61e-17,3.19e-14
31,0.8967,8.102,2.7e-16,1.54e-13
31,0.849,7.979,7.35e-16,4.18e-13
31,0.849,7.872,1.75e-15,9.94e-13
31,0.8335,7.56,2.01e-14,1.15e-11
32,0.9341,8.704,1.6e-18,9.1e-16
32,0.9217,8.66,2.36e-18,1.34e-15
32,0.9738,8.577,4.85e-18,2.76e-15
32,0.8959,8.433,1.69e-17,9.61e-15
32,0.8991,8.4,2.24e-17,1.27e-14
32,0.9738,8.237,8.81e-17,5.01e-14
32,0.9054,8.214,1.07e-16,6.07e-14
32,0.9084,8.139,1.99e-16,1.13e-13
32,0.8959,8.112,2.5e-16,1.42e-13
32,0.9163,7.971,7.9e-16,4.49e-13
32,0.8959,7.94,1.01e-15,5.76e-13
32,0.8595,7.856,1.99e-15,1.13e-12
32,0.8906,7.818,2.68e-15,1.52e-12
32,0.8595,7.586,1.65e-14,9.4e-12
33,0.9601,8.686,1.88e-18,1.07e-15
33,0.935,8.442,1.56e-17,8.9e-15
33,0.8286,8.426,1.78e-17,1.01e-14
33,0.9281,8.255,7.6e-17,4.33e-14
33,0.8647,8.215,1.06e-16,6.02e-14
33,0.8688,8.057,3.92e-16,2.23e-13
33,0.8786,7.999,6.27e-16,3.57e-13
33,0.8786,7.849,2.09e-15,1.19e-12
33,0.7443,7.293,1.52e-13,8.66e-11
33,0.739,7.125,5.2e-13,2.96e-10
34,0.9692,8.806,6.47e-19,3.68e-16
34,0.9375,8.456,1.38e-17,7.87e-15
34,0.9692,8.443,1.55e-17,8.83e-15
34,0.8866,8.41,2.05e-17,1.17e-14
34,0.8866,8.367,2.95e-17,1.68e-14
34,0.8866,8.365,3.02e-17,1.72e-14
34,0.9443,8.255,7.58e-17,4.31e-14
34,0.8866,8.254,7.65e-17,4.36e-14
34,0.9317,8.222,1e-16,5.7e-14
34,0.8866,8.173,1.51e-16,8.57e-14
34,0.9146,8.138,2.01e-16,1.15e-13
34,0.8174,8.121,2.32e-16,1.32e-13
34,0.8684,8.108,2.57e-16,1.46e-13
34,0.8866,8.102,2.71e-16,1.54e-13
34,0.8448,8.08,3.24e-16,1.84e-13
34,0.8866,8.078,3.3e-16,1.88e-13
34,0.8866,7.97,7.93e-16,4.51e-13
34,0.8174,7.913,1.25e-15,7.13e-13
34,0.8174,7.858,1.95e-15,1.11e-12
34,0.8866,7.854,2.01e-15,1.15e-12
34,0.8174,7.724,5.65e-15,3.21e-12
34,0.7072,7.249,2.1e-13,1.19e-10
35,0.9343,8.419,1.9e-17,1.08e-14
35,0.9374,8.247,8.12e-17,4.62e-14
36,0.9792,8.742,1.15e-18,6.52e-16
36,0.982,8.687,1.86e-18,1.06e-15
36,0.9509,8.641,2.78e-18,1.58e-15
36,0.9792,8.587,4.47e-18,2.54e-15
36,0.9718,8.579,4.77e-18,2.72e-15
36,0.9792,8.54,6.71e-18,3.82e-15
36,0.9462,8.521,7.93e-18,4.51e-15
36,0.9982,8.479,1.14e-17,6.49e-15
36,0.9259,8.462,1.31e-17,7.47e-15
36,0.9792,8.434,1.67e-17,9.5e-15
36,0.9818,8.417,1.94e-17,1.1e-14
36,0.9071,8.417,1.94e-17,1.1e-14
36,0.9792,8.414,1.97e-17,1.12e-14
36,0.982,8.412,2.01e-17,1.15e-14
36,0.9228,8.377,2.71e-17,1.54e-14
36,0.9125,8.377,2.72e-17,1.55e-14
36,0.9792,8.36,3.14e-17,1.79e-14
36,0.9831,8.357,3.21e-17,1.83e-14
36,0.9259,8.331,4.02e-17,2.29e-14
36,0.94,8.327,4.15e-17,2.36e-14
36,0.9505,8.308,4.86e-17,2.77e-14
36,0.9792,8.307,4.91e-17,2.79e-14
36,0.9509,8.283,6.01e-17,3.42e-14
36,0.9509,8.267,6.87e-17,3.91e-14
36,0.8927,8.239,8.68e-17,4.94e-14
36,0.9985,8.236,8.94e-17,5.08e-14
36,1,8.224,9.83e-17,5.59e-14
36,0.8553,8.169,1.56e-16,8.86e-14
36,0.9199,8.081,3.22e-16,1.83e-13
36,0.9974,8.062,3.76e-16,2.14e-13
36,0.9142,8.061,3.78e-16,2.15e-13
36,0.8939,7.872,1.74e-15,9.89e-13
36,0.9259,7.826,2.52e-15,1.43e-12
36,0.8983,7.797,3.17e-15,1.8e-12
36,0.781,7.657,9.52e-15,5.42e-12
37,1,9.042,7.67e-20,4.37e-17
37,0.9904,8.877,3.43e-19,1.95e-16
37,0.9963,8.824,5.53e-19,3.15e-16
37,1,8.821,5.69e-19,3.24e-16
37,0.9694,8.784,7.87e-19,4.48e-16
37,1,8.769,9.04e-19,5.15e-16
37,0.9998,8.764,9.44e-19,5.37e-16
37,1,8.734,1.22e-18,6.96e-16
37,1,8.723,1.36e-18,7.74e-16
37,1,8.721,1.38e-18,7.86e-16
37,1,8.719,1.4e-18,7.96e-16
37,0.9998,8.714,1.47e-18,8.36e-16
37,1,8.711,1.51e-18,8.6e-16
37,0.9992,8.704,1.6e-18,9.11e-16
37,0.9998,8.694,1.75e-18,9.97e-16
37,0.9998,8.671,2.15e-18,1.22e-15
37,1,8.629,3.09e-18,1.76e-15
37,1,8.626,3.17e-18,1.8e-15
37,1,8.625,3.2e-18,1.82e-15
37,0.9164,8.61,3.65e-18,2.08e-15
37,0.9962,8.607,3.76e-18,2.14e-15
37,0.9837,8.604,3.85e-18,2.19e-15
37,0.9694,8.599,4.02e-18,2.29e-15
37,1,8.59,4.34e-18,2.47e-15
37,0.9998,8.59,4.36e-18,2.48e-15
37,1,8.585,4.54e-18,2.58e-15
37,1,8.585,4.56e-18,2.59e-15
37,1,8.578,4.81e-18,2.74e-15
37,1,8.575,4.97e-18,2.83e-15
37,1,8.573,5.03e-18,2.86e-15
37,0.9998,8.571,5.13e-18,2.92e-15
37,1,8.571,5.14e-18,2.92e-15
37,1,8.567,5.31e-18,3.02e-15
37,0.9998,8.556,5.86e-18,3.33e-15
37,0.9998,8.549,6.2e-18,3.53e-15
37,1,8.547,6.29e-18,3.58e-15
37,0.9701,8.541,6.65e-18,3.78e-15
37,0.9701,8.535,7e-18,3.98e-15
37,0.9802,8.531,7.26e-18,4.13e-15
37,0.9998,8.527,7.51e-18,4.27e-15
37,1,8.525,7.66e-18,4.36e-15
