stringId_A,stringId_B
ENSP00000242261,ENSP00000398632
ENSP00000244050,ENSP00000384273
ENSP00000244050,ENSP00000287820
ENSP00000244050,ENSP00000263253
ENSP00000244050,ENSP00000324806
ENSP00000244050,ENSP00000383042
ENSP00000244050,ENSP00000320147
ENSP00000244336,ENSP00000293379
ENSP00000244336,ENSP00000346839
ENSP00000244336,ENSP00000379350
ENSP00000245451,ENSP00000262120
ENSP00000245451,ENSP00000373574
ENSP00000245451,ENSP00000283147
ENSP00000245451,ENSP00000368104
ENSP00000245451,ENSP00000379204
ENSP00000246792,ENSP00000348461
ENSP00000246792,ENSP00000265371
ENSP00000246792,ENSP00000417273
ENSP00000246792,ENSP00000341905
ENSP00000246792,ENSP00000408695
ENSP00000246792,ENSP00000416523
ENSP00000246792,ENSP00000264431
ENSP00000246792,ENSP00000400175
ENSP00000246792,ENSP00000418915
ENSP00000246792,ENSP00000286827
ENSP00000246792,ENSP00000442736
ENSP00000246792,ENSP00000274376
ENSP00000247470,ENSP00000365227
ENSP00000247470,ENSP00000376475
ENSP00000247470,ENSP00000430684
ENSP00000247470,ENSP00000263341
ENSP00000247470,ENSP00000280357
ENSP00000249014,ENSP00000366283
ENSP00000249014,ENSP00000261590
ENSP00000249014,ENSP00000293373
ENSP00000249014,ENSP00000337907
ENSP00000249014,ENSP00000379350
ENSP00000249014,ENSP00000377508
ENSP00000249014,ENSP00000314067
ENSP00000249014,ENSP00000339191
ENSP00000249014,ENSP00000351209
ENSP00000249014,ENSP00000348461
ENSP00000249014,ENSP00000249071
ENSP00000249014,ENSP00000339467
ENSP00000249014,ENSP00000304283
ENSP00000249014,ENSP00000469413
ENSP00000249071,ENSP00000359552
ENSP00000249071,ENSP00000303507
ENSP00000249071,ENSP00000261590
ENSP00000249071,ENSP00000286201
ENSP00000249071,ENSP00000366283
ENSP00000249071,ENSP00000293549
ENSP00000249071,ENSP00000337907
ENSP00000249071,ENSP00000357727
ENSP00000249071,ENSP00000339467
ENSP00000249071,ENSP00000351209
ENSP00000249071,ENSP00000339191
ENSP00000249071,ENSP00000276440
ENSP00000249071,ENSP00000379350
ENSP00000249071,ENSP00000380948
ENSP00000249071,ENSP00000348461
ENSP00000249071,ENSP00000451828
ENSP00000249071,ENSP00000442736
ENSP00000249071,ENSP00000357883
ENSP00000249071,ENSP00000384273
ENSP00000249071,ENSP00000382004
ENSP00000249071,ENSP00000380638
ENSP00000249071,ENSP00000361423
ENSP00000249071,ENSP00000400175
ENSP00000249071,ENSP00000293373
ENSP00000249071,ENSP00000469413
ENSP00000249071,ENSP00000316338
ENSP00000249071,ENSP00000362680
ENSP00000249071,ENSP00000286827
ENSP00000249071,ENSP00000304283
ENSP00000249071,ENSP00000314067
ENSP00000250378,ENSP00000308938
ENSP00000250378,ENSP00000355627
ENSP00000250448,ENSP00000340330
ENSP00000250448,ENSP00000400341
ENSP00000250448,ENSP00000391490
ENSP00000250448,ENSP00000346879
ENSP00000250448,ENSP00000263253
ENSP00000250448,ENSP00000368632
ENSP00000250559,ENSP00000306099
ENSP00000250559,ENSP00000336829
ENSP00000250559,ENSP00000452786
ENSP00000250559,ENSP00000346839
ENSP00000250559,ENSP00000341189
ENSP00000250559,ENSP00000300574
ENSP00000250559,ENSP00000346300
ENSP00000250559,ENSP00000262407
ENSP00000250559,ENSP00000338171
ENSP00000250559,ENSP00000358723
ENSP00000250559,ENSP00000349252
ENSP00000250559,ENSP00000380227
ENSP00000250559,ENSP00000379350
ENSP00000250559,ENSP00000380948
ENSP00000250559,ENSP00000362680
ENSP00000250559,ENSP00000309591
ENSP00000250559,ENSP00000286827
ENSP00000250559,ENSP00000400175
ENSP00000250559,ENSP00000264431
